felag_lykill,felag_id,felag,markadur,heildarsamtok,adalsamningur,adalsamningur_heiti,fjoldi_samninga,fjoldi_haekkana,fjoldi_haekkana_alls,fyrsta,sidasta,samfelld_fra,samfelld_ar,samfelld_punktar,eldri_eydur,visitala_lok,visitala_samfellu_lok,mesta_bil_manudir,heilleiki
nafn:samtök starfsmanna fjármálafyrirtækja,52,Samtök starfsmanna fjármálafyrirtækja,almennur,Sérfélög,sa,Samtök atvinnulífsins,1,59,59,1977-02-01,2027-01-01,1998-01-01,29,40,5,455.87,278.63,51,samfelld
nafn:efling,5,Efling,almennur,ASÍ,sa,Samtök atvinnulífsins,10,41,83,1984-06-01,2027-01-01,2009-03-01,18,26,4,331.22,191.27,74,samfelld
nafn:samiðn,26,Samiðnar,opinber,ASÍ,sa,Samtök atvinnulífsins,12,36,136,1997-03-18,2027-01-01,2024-02-01,3,4,3,273.34,110.87,27,samfelld
nafn:verkalýðsfélagið hlíf,33,Verkalýðsfélagið Hlíf,almennur,ASÍ,sa,Samtök atvinnulífsins,9,36,62,1986-12-01,2027-01-01,2011-05-05,16,27,3,278.35,212.84,133,samfelld
nafn:eining-iðja,42,Eining-Iðja,opinber,ASÍ,sa,Samtök atvinnulífsins,6,34,48,1997-03-09,2027-01-01,2011-05-05,16,24,3,248.06,180.74,40,samfelld
nafn:vr,16,VR,almennur,ASÍ,sa,Samtök atvinnulífsins,4,34,56,1988-06-01,2027-01-01,2013-02-01,14,23,5,251.92,188.01,142,samfelld
nafn:afl starfsgreinafélag,,AFL Starfsgreinafélag,,,sa,Samtök atvinnulífsins,7,33,76,2004-03-01,2027-01-01,2004-03-01,23,33,0,217.31,217.31,16,samfelld
nafn:verkalýðs- og sjómannafélag fáskrúðsfjarðar,,Verkalýðs- og sjómannafélag Fáskrúðsfjarðar,almennur,,sa,Samtök atvinnulífsins,2,32,35,1996-01-01,2027-01-01,2011-05-05,16,24,2,221.23,180.74,60,samfelld
nafn:aldan,76,Aldan stéttarfélag,almennur,ASÍ,sa,Samtök atvinnulífsins,2,29,30,1995-06-09,2027-01-01,2011-05-05,16,24,2,207.99,180.74,106,samfelld
nafn:verkalýðsfélag akraness,29,Verkalýðsfélag Akraness,almennur,ASÍ,sa,Samtök atvinnulífsins,4,29,34,2004-04-19,2027-01-01,2010-01-01,17,25,1,206.48,186.61,36,samfelld
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,4,28,40,2004-04-19,2027-01-01,2011-05-05,16,24,1,201.45,180.74,52,samfelld
nafn:báran,23,Báran stéttarfélag,opinber,ASÍ,sa,Samtök atvinnulífsins,3,28,32,2004-04-19,2027-01-01,2011-05-05,16,24,1,201.45,180.74,52,samfelld
nafn:drífandi stéttarfélag verkalýðsfélag þórshafnar,45,"Drífandi stéttarfélag, Verkalýðsfélag Þórshafnar",almennur,ASÍ,sa,Samtök atvinnulífsins,2,28,30,2004-04-19,2027-01-01,2011-05-05,16,24,1,201.45,180.74,52,samfelld
nafn:framsýn,,Framsýn,,,sa,Samtök atvinnulífsins,6,28,41,2004-04-19,2027-01-01,2011-05-05,16,24,1,201.45,180.74,52,samfelld
nafn:rsí,13,RSÍ,almennur,ASÍ,sa,Samtök atvinnulífsins,27,28,131,1998-01-01,2027-01-01,2016-01-01,11,16,6,223.0,143.86,31,samfelld
nafn:sgs,25,SGS,almennur,ASÍ,sa,Samtök atvinnulífsins,4,28,53,2004-04-19,2027-01-01,2011-05-05,16,24,1,201.45,180.74,52,samfelld
nafn:verkalýðsfélag fljótsdalshéraðs,,Verkalýðsfélag Fljótsdalshéraðs,opinber,,sa,Samtök atvinnulífsins,2,28,29,2004-04-19,2027-01-01,2011-05-05,16,24,1,201.45,180.74,52,samfelld
nafn:verkalýðsfélag grindavíkur,75,Verkalýðsfélag Grindavíkur,almennur,ASÍ,sa,Samtök atvinnulífsins,1,28,28,2004-04-19,2027-01-01,2011-05-05,16,24,1,201.45,180.74,52,samfelld
nafn:verkalýðsfélag vestfirðinga,,Verkalýðsfélag Vestfirðinga,,,sa,Samtök atvinnulífsins,2,28,36,2004-04-19,2027-01-01,2011-05-05,16,24,1,201.45,180.74,52,samfelld
nafn:verkalýðsfélag vestfjarðinga,,Verkalýðsfélag Vestfjarðinga,almennur,ASÍ,sa,Samtök atvinnulífsins,1,28,28,2004-04-19,2027-01-01,2011-05-05,16,24,1,201.45,180.74,52,samfelld
