uppruni,rakning,felag,felag_id,atvinnurekandi,markadur,heildarsamtok,gildir_fra,tegund,prosenta,kronur,a_vid,artal_stada,skjal,slod,tilvitnun,motadili,motadili_heiti,af_felagsvef
ríkissáttasemjari,staðfest lýsigögn,Verslunarmannafélag Reykjavíkur,,VSÍ,,,1965-06-01,prósenta,9.0,,launatafla,ályktað (óvisst),SKM_C554e23091315440.txt,https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23091315440.pdf,"kur) flytjist í 12. launaflokk o.s.frv., 31. launaflokkur verði 32. launaflokkur. Eftir áorðnar breytingar skv. 1. - 4. tölulið hækka allir kaup- taxtar, lágmarkstekjur fyrir fulla dagvinnu og grunntölur afkasta- hvetjandi launakerfa (sbr. þó 6. tl.) um 9,0% frá því sem var á tímabilinu 1. júní til 31. ágúst 1984 og verða því byrjunarlaun 12. launaflokks kr. 12.075 frá gildistökudegi að telja. Lág",sa,Samtök atvinnulífsins,0
ríkissáttasemjari,staðfest lýsigögn,Sjómannafélag Reykjavíkur,27,"Sambands íslenskra samvinnufélaga, Eimskipafélags Íslands, Eimskipafélags Reykjavíkur, Jökla, Hafskips",almennur,Sérfélög,1974-12-01,prósenta,3.0,,óskilgreint,úr texta,SKM_C554e23100614110.txt,https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100614110.pdf,"bætur vegna vinnutímastyttingar úr 48 klst. í 40 klst. og launa- jöfnunarbætur skv. lögum nr. 88/1974 eru innifaldar í ofangreindum kaupliðum. Á olíuskipum skal fastakaup (grunnkaup) vera 10% hærra að frá. dregnum launajöfnunarbótum. Framangreind laun og yfirvinna hækki um 3% frá og með 1. des. 1974, Launin frá 1. des. 1974 hækki um 3% frá og með 1. júní 1975 og launin frá 1. júní 1975 hækki um 3%",sa,Samtök atvinnulífsins,0
ríkissáttasemjari,staðfest lýsigögn,Sjómannafélag Reykjavíkur,27,"Sambands íslenskra samvinnufélaga, Eimskipafélags Íslands, Eimskipafélags Reykjavíkur, Jökla, Hafskips",almennur,Sérfélög,1975-06-01,prósenta,3.0,,óskilgreint,úr texta,SKM_C554e23100614110.txt,https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100614110.pdf,"ndum kaupliðum. Á olíuskipum skal fastakaup (grunnkaup) vera 10% hærra að frá. dregnum launajöfnunarbótum. Framangreind laun og yfirvinna hækki um 3% frá og með 1. des. 1974, Launin frá 1. des. 1974 hækki um 3% frá og með 1. júní 1975 og launin frá 1. júní 1975 hækki um 3% frá og með 1, apríl 1976. Ef skip hefur ekki komið í innlenda höfn í 2 mánuði",sa,Samtök atvinnulífsins,0
ríkissáttasemjari,staðfest lýsigögn,Félag matreiðslumanna,,"Hf. Eimskipafélags Íslands, Jökla hf., Hafskips hf., Sambands ísl. samvinnufélaga, Jón Franklifn skipaútgerð og Skipareksturs ríkisins",almennur,,1975-07-03,prósenta,0.6,,almenn laun,ályktað (óvisst),SKM_C554e23091214510.txt,https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23091214510.pdf,"indum Mánaðarlaunum eru innifalin grunnlaun skv, Bamninpi frá 1, marz 1974 að viðbættri 3% hækkun frá 1, desember 1974, vfgitölu. bótum 106.18 stig, launahækkun kr. 15,800.00 skv. samkomulagi dags, 3. júlf 1975, vfaitölubótum 0.6% frá 1. des, 1975 og 6% kauphækkun frá 1, marz 1976, Á skipum þar sem hvorki er bryti né vikadrengur skal matreiðslumaður ha",sa,Samtök atvinnulífsins,0
ríkissáttasemjari,staðfest lýsigögn,Félag matreiðslumanna,,"Hf. Eimskipafélags Íslands, Jökla hf., Hafskips hf., Sambands ísl. samvinnufélaga, Jón Franklifn skipaútgerð og Skipareksturs ríkisins",almennur,,1975-12-01,prósenta,6.0,,almenn laun,ályktað (óvisst),SKM_C554e23091214510.txt,https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23091214510.pdf,"nnlaun skv, Bamninpi frá 1, marz 1974 að viðbættri 3% hækkun frá 1, desember 1974, vfgitölu. bótum 106.18 stig, launahækkun kr. 15,800.00 skv. samkomulagi dags, 3. júlf 1975, vfaitölubótum 0.6% frá 1. des, 1975 og 6% kauphækkun frá 1, marz 1976, Á skipum þar sem hvorki er bryti né vikadrengur skal matreiðslumaður hafa 4% álag (framreiðsluálag) á grunnlaun (11. flokkur). I. flokkur. Grunnlaun Vinnu",sa,Samtök atvinnulífsins,0
ríkissáttasemjari,staðfest lýsigögn,Félag matreiðslumanna,,"Hf. Eimskipafélags Íslands, Jökla hf., Hafskips hf., Sambands ísl. samvinnufélaga, Jón Franklifn skipaútgerð og Skipareksturs ríkisins",almennur,,1976-07-01,prósenta,6.0,,óskilgreint,úr texta,SKM_C554e23091214510.txt,https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23091214510.pdf,"96.729.00 a 72.796.00 10.191.00 17.012.00 99.999.00 A 75.178.00 10.525.90 17.,569.00 103.272.00 ið 17.559,00 10.858.00 18.125.00 106.542.00 Ófaglærbir 61.892.00 8.665.00 14,464.00 85.021.,00 Hinn 1. júlí 1976 hækka kaupliðir samningsins um 6%. Laun frá Í. júlí 1976 hækka þann 1. október 1976 um 6%. Launin frá Í. október 1976 hækka um 5% þann 1. febrúar 1977, Við ráðningu matreiðslumanna með sv",sa,Samtök atvinnulífsins,0
ríkissáttasemjari,staðfest lýsigögn,Félag matreiðslumanna,,"Hf. Eimskipafélags Íslands, Jökla hf., Hafskips hf., Sambands ísl. samvinnufélaga, Jón Franklifn skipaútgerð og Skipareksturs ríkisins",almennur,,1976-10-01,prósenta,6.0,,óskilgreint,úr texta,SKM_C554e23091214510.txt,https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23091214510.pdf,"69.00 103.272.00 ið 17.559,00 10.858.00 18.125.00 106.542.00 Ófaglærbir 61.892.00 8.665.00 14,464.00 85.021.,00 Hinn 1. júlí 1976 hækka kaupliðir samningsins um 6%. Laun frá Í. júlí 1976 hækka þann 1. október 1976 um 6%. Launin frá Í. október 1976 hækka um 5% þann 1. febrúar 1977, Við ráðningu matreiðslumanna með sveinsbréf eða meistararéttindi skal tekið tillit til starfsreynslu á",sa,Samtök atvinnulífsins,0
ríkissáttasemjari,staðfest lýsigögn,Félag matreiðslumanna,,"Hf. Eimskipafélags Íslands, Jökla hf., Hafskips hf., Sambands ísl. samvinnufélaga, Jón Franklifn skipaútgerð og Skipareksturs ríkisins",almennur,,1977-02-01,prósenta,6.0,,óskilgreint,úr texta,SKM_C554e23091214510.txt,https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23091214510.pdf,"0 ið 17.559,00 10.858.00 18.125.00 106.542.00 Ófaglærbir 61.892.00 8.665.00 14,464.00 85.021.,00 Hinn 1. júlí 1976 hækka kaupliðir samningsins um 6%. Laun frá Í. júlí 1976 hækka þann 1. október 1976 um 6%. Launin frá Í. október 1976 hækka um 5% þann 1. febrúar 1977, Við ráðningu matreiðslumanna með sveinsbréf eða meistararéttindi skal tekið tillit til starfsreynslu á eftirfarandi h",sa,Samtök atvinnulífsins,0
ríkissáttasemjari,staðfest lýsigögn,Samtök starfsmanna fjármálafyrirtækja,52,Samninganefnd bankanna,almennur,Sérfélög,1977-02-01,prósenta,5.0,,óskilgreint,úr texta,samningur_1104.txt,https://kjarasamningar.hestafl.is/pdfs/samningur_1104.pdf,7.300 111.300 9. flokkur 114.500 117.700 120.800 10. flokkur 127.170 132.360 137.500 11. flokkur 142.200 147.100 152.300 12. flokkur 158.975 165.350 169.500 4.mgr. Framangreind laun skulu hækka hinn 1. febrúar 1977 um 5% og þau laun síðan hækka um 4% hinn 1. júlí 1977. 5. mgr. Kjör samkvæmt samkomulagi þessu eru lágmarks- kjör. 3.gr. Um útborgun launa og afleysingar 1. mg,sa,Samtök atvinnulífsins,0
ríkissáttasemjari,staðfest lýsigögn,Samtök starfsmanna fjármálafyrirtækja,52,Samninganefnd bankanna,almennur,Sérfélög,1977-06-01,prósenta,4.4,,óskilgreint,úr texta,samningur_1104.txt,https://kjarasamningar.hestafl.is/pdfs/samningur_1104.pdf,"7 og minnst 4,4% hærri en vísitalan 1. október 1976, skulu laun samkvæmt samkomulagi þessu hækka frá 1. mars 1977 í hlutfalli við hækkun vísitölunnar umfram 612 stig eða umfram þá vísitölu, er reiknuð var út í. október 1976 að viðbættri 4,4% hækkun, hvort sem hærra er. 4. mgr. Frá og með 1. júní 1977 og síðan ársfjórðungslega út gildistímabilið skulu laun síðan hækka í hlutfalli við hækkun framfær",sa,Samtök atvinnulífsins,0
