heimild,heimild_heiti,skjal,adili_1,adili_2,rakning,samningur_fra,samningur_til,gildir_fra,tegund,prosenta,kronur,a_vid,artal_stada,tilvitnun
vr,VR,vr/file429437.pdf,launakannana VR árin 1999,2000 en,aðilar úr skjali,,,2001-01-01,prósenta,3.0,,almenn laun,úr texta,kki eins og er því brugðið á það ráð að fjalla um samningana í sitthvoru lagi hér að neðan. Stór meirihluti félagsmanna vinnur samkvæmt samningi VR og SA. VR og SA Launahækkun Samkvæmt samningi VR við Samtök atvinnulífsins áttu öll laun félagsmanna að hækka að lág- marki um 3% frá og með 1. janúar 2001. Launaviðtal Starfsmaður á rétt á viðtali við yfirmann einu sinni á ári um störf sín og hugsanle
vr,VR,vr/utfararstofa_2004.pdf,Útfararstofu kirkjugarðanna,Verzlunarmannafélags Reykjavíkur,aðilar úr skjali,,,2001-01-01,prósenta,3.0,,almenn laun,úr texta,"amtaka atvinnulífsins dags 21. apríl 2004 gilda. 2. grein. Launahækkanir verða sem hér segir á samningstímanum: Frá 16. apríl 2004 skulu laun hækka um 3,25%, auk kr. 5.000.- á mánuði. Frá 1. janúar 2001 3% Frá 1. janúar 2002 2,5% Frá 1. janúar 2003 2,25% 3. grein. Laun starfsmanna skulu vera eftirfarandi; 01. ap"
fin,Félag íslenskra náttúrufræðinga,fin/Riki_Heildarkjarasamningur.pdf,,,aðeins heimild,,,2001-12-31,prósenta,6.9,,launatafla,úr texta,"i, að við endurskoðun stofnanasamnings verði tekið tillit til þess mismunar sem er á núverandi launatöflu arkitekta og náttúrufræðinga. Núgildandi launatafla arkitekta verði framlengd og gildi til 31. desember 2001 með 6,9% hækkun svo stofnun hafi svigrúm til að endurskoða röðun þeirra eftir staðfestingu kjarasamningsins. Bókun 8 Vegna brottfellingar m.a. á greinum 2.6.13 og 4.2.2 (um lágmarksupph"
fin,Félag íslenskra náttúrufræðinga,fin/Riki_Heildarkjarasamningur.pdf,,,aðeins heimild,,,2002-01-01,prósenta,3.0,,launatafla,úr texta,"í mánaðarlaunin og margfaldað með fjölda almanaksdaga annarra en laugardaga og sunnudaga frá upphafi eða til loka starfstíma. 1.1.3 Launatöflur skv. gr. 1.1.1 taki þeim hækkunum sem hér segir: 1. janúar 2002 3,0% 1. janúar 2003 3,0% 1. janúar 2004 3,0% 1.2 Launaþrep 1.2.1 Í ramma A eru 6 launaþrep og raðast starfsmaður eft"
vr,VR,vr/file453984.pdf,,,aðeins heimild,,,2002-01-01,prósenta,3.0,,almenn laun,úr texta,1. janúar 2002 hafa þeir rétt til tveggja mán- aða fæðingarorlofs. Síðasti mán- uðurinn kemur svo þann 1. janúar 2003. Við minnum verðandi feður á þennan rétt og hvetjum þá til að nýta sér hann. Þann 1. janúar 2002 hækka laun sam- kvæmt samningi VR og Samtaka atvinnulífs- ins um 3%. Hér eru birtar töflur yfir lág- markslaun afgreiðslufólks og deildarstjóra í verslunum og skrifstofufólks frá og með
vr,VR,vr/utfararstofa_2004.pdf,Útfararstofu kirkjugarðanna,Verzlunarmannafélags Reykjavíkur,aðilar úr skjali,,,2002-01-01,prósenta,2.5,,almenn laun,úr texta,"ags 21. apríl 2004 gilda. 2. grein. Launahækkanir verða sem hér segir á samningstímanum: Frá 16. apríl 2004 skulu laun hækka um 3,25%, auk kr. 5.000.- á mánuði. Frá 1. janúar 2001 3% Frá 1. janúar 2002 2,5% Frá 1. janúar 2003 2,25% 3. grein. Laun starfsmanna skulu vera eftirfarandi; 01. apríl 2004 Mánaðarlaun Dagvi"
lis,Læknafélag Íslands,lis/urskurdur-kjaranefndar-oktober-2002.pdf,í september 1996. Samningnum fylgdi yfirlýsing frá heilbrigðisráðherra,fjármálaráðherra,aðilar úr skjali,,,2002-04-01,prósenta,3.0,,almenn laun,úr texta,kna er höfð hliðsjón af viðmiðunarreglum kjaranefndar um greiðslur fyrir aukastörf. 15. Úrskurðurinn tekur gildi 1. nóvember 2002 að öðru leyti en því að kafli IX.2 um mánaðarlaun gildir frá 1. apríl 2002. Laun samkvæmt úrskurði þessum skulu hækka um 3% 1. janúar 2003. ____________________________ Guðrún Zoëga _____________________________ ___________________
asi,Alþýðusamband Íslands,asi/2003.266.pdf,Samtaka atvinnulífsins,Bifreiðarstjórafélagsins Sleipnis,aðilar úr skjali,,,2002-06-12,krónutala,,1690,óskilgreint,úr texta,félagi Reykjavíkur.“ Lögmaður stefnanda sendi stefnda bréf 3. júní 2002 þar sem krafist var greiðslu bóta vegna uppsagnar stefnanda og Björns Briem. Þeirri kröfu var hafnað með bréfi SA dagsettu 12. júní 2002. Stefnandi krafðist í stefnu bóta að fjárhæð 2.31 1.690 krónur en lækkaði kröfuna við upphaf aðalmeðferðar um fjárhæð sem nemur atvinnuleysisbótum á því þriggja mánaða tímabili sem krafa vegn
fin,Félag íslenskra náttúrufræðinga,fin/Riki_Heildarkjarasamningur.pdf,,,aðeins heimild,,,2003-01-01,prósenta,3.0,,launatafla,úr texta,"ldað með fjölda almanaksdaga annarra en laugardaga og sunnudaga frá upphafi eða til loka starfstíma. 1.1.3 Launatöflur skv. gr. 1.1.1 taki þeim hækkunum sem hér segir: 1. janúar 2002 3,0% 1. janúar 2003 3,0% 1. janúar 2004 3,0% 1.2 Launaþrep 1.2.1 Í ramma A eru 6 launaþrep og raðast starfsmaður eftir aldri innan hans sem"
lis,Læknafélag Íslands,lis/urskurdur-kjaranefndar-oktober-2002.pdf,í september 1996. Samningnum fylgdi yfirlýsing frá heilbrigðisráðherra,fjármálaráðherra,aðilar úr skjali,,,2003-01-01,prósenta,3.0,,almenn laun,úr texta,liðsjón af viðmiðunarreglum kjaranefndar um greiðslur fyrir aukastörf. 15. Úrskurðurinn tekur gildi 1. nóvember 2002 að öðru leyti en því að kafli IX.2 um mánaðarlaun gildir frá 1. apríl 2002. Laun samkvæmt úrskurði þessum skulu hækka um 3% 1. janúar 2003. ____________________________ Guðrún Zoëga _____________________________ ___________________ _________ Ás
