felag,gildir_fra,prosenta,kronur,a_vid,heimild,athugasemd,skradur
Samtök starfsmanna fjármálafyrirtækja,2001-01-01,6.9,,almenn laun,https://kjarasamningar.hestafl.is/pdfs/samningur_1088.pdf,,2026-09-21
Samtök starfsmanna fjármálafyrirtækja,2002-01-01,3,,almenn laun,https://kjarasamningar.hestafl.is/pdfs/samningur_1088.pdf,,2026-09-21
Samtök starfsmanna fjármálafyrirtækja,2003-01-01,3,,almenn laun,https://kjarasamningar.hestafl.is/pdfs/samningur_1088.pdf,,2026-09-21
Samtök starfsmanna fjármálafyrirtækja,2004-01-01,3,,almenn laun,https://kjarasamningar.hestafl.is/pdfs/samningur_1088.pdf,,2026-09-21
Samtök starfsmanna fjármálafyrirtækja,2004-10-01,5.25,,almenn laun,https://kjarasamningar.hestafl.is/pdfs/samningur_1087.pdf,,2026-09-21
Samtök starfsmanna fjármálafyrirtækja,2006-01-01,3.75,,almenn laun,https://kjarasamningar.hestafl.is/pdfs/samningur_1087.pdf,,2026-09-21
Samtök starfsmanna fjármálafyrirtækja,2007-01-01,4,,almenn laun,https://kjarasamningar.hestafl.is/pdfs/samningur_1087.pdf,,2026-09-21
Samtök starfsmanna fjármálafyrirtækja,2008-01-01,2.25,,almenn laun,https://kjarasamningar.hestafl.is/pdfs/samningur_1087.pdf,,2026-09-21
Samtök starfsmanna fjármálafyrirtækja,2011-06-01,4.25,,almenn laun,https://kjarasamningar.hestafl.is/pdfs/samningur_1085.pdf,,2026-09-20
Samtök starfsmanna fjármálafyrirtækja,2012-02-01,3.5,,almenn laun,https://kjarasamningar.hestafl.is/pdfs/samningur_1085.pdf,,2026-09-20
Samtök starfsmanna fjármálafyrirtækja,2013-02-01,3.25,,almenn laun,https://kjarasamningar.hestafl.is/pdfs/samningur_1085.pdf,,2026-09-20
Samtök starfsmanna fjármálafyrirtækja,2014-02-01,2.8,8000,almenn laun,https://ssf.kreatives.is/wp-content/uploads/2024/02/Kjarasamningur-eins-og-undirritadur-11-03-2014.pdf,,2026-09-20
