felag,samband,motadili,athugasemd
efling,sgs,sa,Aðildarfélag SGS: hækkanir SGS við SA ráða
afl starfsgreinafélag,sgs,sa,
afl,sgs,sa,
eining-iðja,sgs,sa,
framsýn,sgs,sa,
verkalýðsfélag vestfirðinga,sgs,sa,
verkalýðsfélag vestfjarðinga,sgs,sa,
verkalýðsfélag akraness,sgs,sa,
aldan,sgs,sa,
báran,sgs,sa,
verkalýðsfélagið hlíf,sgs,sa,
verkalýðs- og sjómannafélag fáskrúðsfjarðar,sgs,sa,
verkalýðsfélag grindavíkur,sgs,sa,
verkalýðsfélag fljótsdalshéraðs,sgs,sa,
drífandi stéttarfélag verkalýðsfélag þórshafnar,sgs,sa,
