felag_lykill,felag_id,felag,markadur,heildarsamtok,motadili,motadili_heiti,adalsamningur,erft_fra,ur_serssamningi,dagsetning,a_vid,prosenta,kronur,tegund,visitala,visitala_samfella,innan_samfellu,i_kedju,bil_manudir,visitala_athugasemd,heimildir,olik_gildi,sameinad,upprunar,skjal,slod
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,1,SGS,Landsvirkjun,2004-04-19,almenn laun,3.25,,prósenta,100.0,,0,1,,grunnur,1,1,,ríkissáttasemjari,samningur_787.txt,https://kjarasamningar.hestafl.is/pdfs/samningur_787.pdf
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,1,SGS,Landsvirkjun,2005-01-01,almenn laun,3.0,,prósenta,103.0,,0,1,9,,1,1,,ríkissáttasemjari,samningur_787.txt,https://kjarasamningar.hestafl.is/pdfs/samningur_787.pdf
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,1,SGS,Landsvirkjun,2006-01-01,almenn laun,2.5,,prósenta,105.57,,0,1,12,,1,1,,ríkissáttasemjari,samningur_787.txt,https://kjarasamningar.hestafl.is/pdfs/samningur_787.pdf
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,1,SGS,Landsvirkjun,2007-01-01,almenn laun,2.25,,prósenta,107.95,,0,1,12,,1,1,,ríkissáttasemjari,samningur_787.txt,https://kjarasamningar.hestafl.is/pdfs/samningur_787.pdf
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,1,SGS,,2011-05-05,kauptaxtar,3.25,11000,prósenta og krónutala,111.46,100.0,1,1,52,löng eyða á undan,1,1,,vefskjal,sgs/taxtar_sa_1-feb-2013.pdf,https://www.sgs.is/media/5sfaqqor/taxtar_sa_1-feb-2013.pdf
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,1,SGS,,2011-06-01,almenn laun,4.25,,prósenta,116.2,104.25,1,1,1,,1,1,,ríkissáttasemjari,samningur_1122.txt,https://kjarasamningar.hestafl.is/pdfs/samningur_1122.pdf
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,1,SGS,,2012-02-01,almenn laun,3.5,,prósenta,120.26,107.9,1,1,8,,1,1,,ríkissáttasemjari,samningur_1122.txt,https://kjarasamningar.hestafl.is/pdfs/samningur_1122.pdf
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,1,SGS,,2013-02-01,kauptaxtar,3.25,11000,prósenta,124.17,111.4,1,1,12,,3,1,,"ríkissáttasemjari,vefskjal",samningur_1122.txt,https://kjarasamningar.hestafl.is/pdfs/samningur_1122.pdf
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,1,SGS,,2014-02-21,almenn laun,,9750,krónutala,124.17,111.4,1,1,12,krónutöluhækkun - vísitala stendur í stað,3,0,,vefskjal,framsyn/2017-Hvalursamningur_1.-maí.pdf,https://framsyn.is/wp-content/uploads/2017/06/2017-Hvalursamningur_1.-maí.pdf
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,1,SGS,,2015-05-01,almenn laun,,15000,krónutala,124.17,111.4,1,1,15,krónutöluhækkun - vísitala stendur í stað,1,0,,ríkissáttasemjari,samningur_1120.txt,https://kjarasamningar.hestafl.is/pdfs/samningur_1120.pdf
nafn:afl,15,AFL - Starfsgreinafélag,opinber,ASÍ,sa,Samtök atvinnulífsins,1,SGS,,2016-01-01,kauptaxtar,7.2,,prósenta,133.11,119.42,1,1,8,,2,1,,ríkissáttasemjari,samningur_1120.txt,https://kjarasamningar.hestafl.is/pdfs/samningur_1120.pdf
