Ár,Ársfjórðungur,Vísitala,gildi
2000,1. ársfjórðungur,Launavísitala,100
2000,1. ársfjórðungur,Þar af laun á alm. markaði,100
2000,1. ársfjórðungur,Þar af laun opinb. stm. og bankam.,100
2000,2. ársfjórðungur,Launavísitala,102.8
2000,2. ársfjórðungur,Þar af laun á alm. markaði,103.7
2000,2. ársfjórðungur,Þar af laun opinb. stm. og bankam.,101.4
2000,3. ársfjórðungur,Launavísitala,104.2
2000,3. ársfjórðungur,Þar af laun á alm. markaði,105.7
2000,3. ársfjórðungur,Þar af laun opinb. stm. og bankam.,101.9
2000,4. ársfjórðungur,Launavísitala,104.8
2000,4. ársfjórðungur,Þar af laun á alm. markaði,106.2
2000,4. ársfjórðungur,Þar af laun opinb. stm. og bankam.,102.8
2000,Ársmeðaltal,Launavísitala,103
2000,Ársmeðaltal,Þar af laun á alm. markaði,103.9
2000,Ársmeðaltal,Þar af laun opinb. stm. og bankam.,101.5
2001,1. ársfjórðungur,Launavísitala,108.9
2001,1. ársfjórðungur,Þar af laun á alm. markaði,111.1
2001,1. ársfjórðungur,Þar af laun opinb. stm. og bankam.,105.7
2001,2. ársfjórðungur,Launavísitala,111.5
2001,2. ársfjórðungur,Þar af laun á alm. markaði,112.1
2001,2. ársfjórðungur,Þar af laun opinb. stm. og bankam.,110.4
2001,3. ársfjórðungur,Launavísitala,113.3
2001,3. ársfjórðungur,Þar af laun á alm. markaði,113.3
2001,3. ársfjórðungur,Þar af laun opinb. stm. og bankam.,113.4
2001,4. ársfjórðungur,Launavísitala,114.5
2001,4. ársfjórðungur,Þar af laun á alm. markaði,114
2001,4. ársfjórðungur,Þar af laun opinb. stm. og bankam.,115.4
2001,Ársmeðaltal,Launavísitala,112.1
2001,Ársmeðaltal,Þar af laun á alm. markaði,112.6
2001,Ársmeðaltal,Þar af laun opinb. stm. og bankam.,111.2
2002,1. ársfjórðungur,Launavísitala,119.2
2002,1. ársfjórðungur,Þar af laun á alm. markaði,118.2
2002,1. ársfjórðungur,Þar af laun opinb. stm. og bankam.,120.7
2002,2. ársfjórðungur,Launavísitala,119.8
2002,2. ársfjórðungur,Þar af laun á alm. markaði,118.5
2002,2. ársfjórðungur,Þar af laun opinb. stm. og bankam.,121.6
2002,3. ársfjórðungur,Launavísitala,120.3
2002,3. ársfjórðungur,Þar af laun á alm. markaði,118.8
2002,3. ársfjórðungur,Þar af laun opinb. stm. og bankam.,122.5
2002,4. ársfjórðungur,Launavísitala,121.1
2002,4. ársfjórðungur,Þar af laun á alm. markaði,119.3
2002,4. ársfjórðungur,Þar af laun opinb. stm. og bankam.,123.8
2002,Ársmeðaltal,Launavísitala,120.1
2002,Ársmeðaltal,Þar af laun á alm. markaði,118.7
2002,Ársmeðaltal,Þar af laun opinb. stm. og bankam.,122.2
2003,1. ársfjórðungur,Launavísitala,125.9
2003,1. ársfjórðungur,Þar af laun á alm. markaði,124.5
2003,1. ársfjórðungur,Þar af laun opinb. stm. og bankam.,128.1
2003,2. ársfjórðungur,Launavísitala,126.5
2003,2. ársfjórðungur,Þar af laun á alm. markaði,125
2003,2. ársfjórðungur,Þar af laun opinb. stm. og bankam.,128.8
2003,3. ársfjórðungur,Launavísitala,127.1
2003,3. ársfjórðungur,Þar af laun á alm. markaði,125.5
2003,3. ársfjórðungur,Þar af laun opinb. stm. og bankam.,129.4
2003,4. ársfjórðungur,Launavísitala,127.7
2003,4. ársfjórðungur,Þar af laun á alm. markaði,126.1
2003,4. ársfjórðungur,Þar af laun opinb. stm. og bankam.,130
2003,Ársmeðaltal,Launavísitala,126.8
2003,Ársmeðaltal,Þar af laun á alm. markaði,125.3
2003,Ársmeðaltal,Þar af laun opinb. stm. og bankam.,129.1
2004,1. ársfjórðungur,Launavísitala,130.3
2004,1. ársfjórðungur,Þar af laun á alm. markaði,127.5
2004,1. ársfjórðungur,Þar af laun opinb. stm. og bankam.,134.5
2004,2. ársfjórðungur,Launavísitala,132.3
2004,2. ársfjórðungur,Þar af laun á alm. markaði,130.3
