Ár,Ársfjórðungur,Launþegahópur,Breyting,gildi
2005,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,97.6
2005,1. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,96.9
2005,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,96
2005,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,98.4
2005,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,99.4
2005,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.8
2005,2. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,99.2
2005,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",2.4
2005,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,99.4
2005,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",3.5
2005,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,99
2005,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.7
2005,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,100.7
2005,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.3
2005,3. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,101.4
2005,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",2.2
2005,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,101.8
2005,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",2.4
2005,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,100.8
2005,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",1.7
2005,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,102.5
2005,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.8
2005,4. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,102.6
2005,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.2
2005,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,103
2005,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",1.2
2005,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,101.9
2005,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",1.1
2005,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,Vísitala,100
2005,Meðaltal ársins,Opinberir starfsmenn - alls,Vísitala,100
2005,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,100
2005,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,100
