Mánuður,Vísitala,Launþegahópur,Eining,gildi
2015M01,Launavísitala,Alls,Vísitölugildi,74.3
2015M01,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,74.3
2015M01,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,73.8
2015M01,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,73.3
2015M01,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,74.5
2015M01,Vísitala grunnlauna,Alls,Vísitölugildi,75
2015M01,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,74.8
2015M01,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,76
2015M01,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,74.7
2015M01,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,77.6
2015M02,Launavísitala,Alls,Vísitölugildi,74.7
2015M02,Launavísitala,Alls,"Mánaðarbreyting, %",0.5
2015M02,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,74.6
2015M02,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.5
2015M02,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,74
2015M02,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.2
2015M02,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,73.5
2015M02,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.3
2015M02,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,74.7
2015M02,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.2
2015M02,Vísitala grunnlauna,Alls,Vísitölugildi,75.3
2015M02,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.4
2015M02,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,75
2015M02,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.3
2015M02,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,76.4
2015M02,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.6
2015M02,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,75.4
2015M02,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",1
2015M02,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,77.7
2015M02,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2015M03,Launavísitala,Alls,Vísitölugildi,74.9
2015M03,Launavísitala,Alls,"Mánaðarbreyting, %",0.3
2015M03,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,74.9
2015M03,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.3
2015M03,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,74.1
2015M03,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.2
2015M03,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,73.6
2015M03,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.1
2015M03,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,74.8
2015M03,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.2
2015M03,Vísitala grunnlauna,Alls,Vísitölugildi,75.5
2015M03,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.2
2015M03,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,75.2
2015M03,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.3
2015M03,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,76.5
2015M03,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0
2015M03,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,75.5
2015M03,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.1
2015M03,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,77.7
2015M03,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0
2015M04,Launavísitala,Alls,Vísitölugildi,75
