Mánuður,Eining,gildi
1989M01,Vísitölugildi,100
1989M01,"Mánaðarbreyting, %",0
1989M02,Vísitölugildi,100.6
1989M02,"Mánaðarbreyting, %",0.6
1989M03,Vísitölugildi,101.3
1989M03,"Mánaðarbreyting, %",0.7
1989M04,Vísitölugildi,102.6
1989M04,"Mánaðarbreyting, %",1.3
1989M05,Vísitölugildi,105.7
1989M05,"Mánaðarbreyting, %",3
1989M06,Vísitölugildi,106.3
1989M06,"Mánaðarbreyting, %",0.6
1989M07,Vísitölugildi,106.8
1989M07,"Mánaðarbreyting, %",0.5
1989M08,Vísitölugildi,107
1989M08,"Mánaðarbreyting, %",0.2
1989M09,Vísitölugildi,110.1
1989M09,"Mánaðarbreyting, %",2.9
1989M10,Vísitölugildi,110.3
1989M10,"Mánaðarbreyting, %",0.2
1989M11,Vísitölugildi,112.7
1989M11,"Mánaðarbreyting, %",2.2
1989M12,Vísitölugildi,112.7
1989M12,"Mánaðarbreyting, %",0
1989M12,"Ársbreyting, %",12.7
1990M01,Vísitölugildi,113.3
1990M01,"Mánaðarbreyting, %",0.5
1990M01,"Ársbreyting, %",13.3
1990M02,Vísitölugildi,114.7
1990M02,"Mánaðarbreyting, %",1.2
1990M02,"Ársbreyting, %",14
1990M03,Vísitölugildi,114.7
1990M03,"Mánaðarbreyting, %",0
1990M03,"Ársbreyting, %",13.2
1990M04,Vísitölugildi,114.7
1990M04,"Mánaðarbreyting, %",0
1990M04,"Ársbreyting, %",11.8
1990M05,Vísitölugildi,115
1990M05,"Mánaðarbreyting, %",0.3
1990M05,"Ársbreyting, %",8.8
1990M06,Vísitölugildi,116.6
1990M06,"Mánaðarbreyting, %",1.4
1990M06,"Ársbreyting, %",9.7
1990M07,Vísitölugildi,116.9
1990M07,"Mánaðarbreyting, %",0.3
1990M07,"Ársbreyting, %",9.5
1990M08,Vísitölugildi,116.9
1990M08,"Mánaðarbreyting, %",0
1990M08,"Ársbreyting, %",9.3
1990M09,Vísitölugildi,116.6
1990M09,"Mánaðarbreyting, %",-0.3
1990M09,"Ársbreyting, %",5.9
1990M10,Vísitölugildi,116.9
1990M10,"Mánaðarbreyting, %",0.3
1990M10,"Ársbreyting, %",6
1990M11,Vísitölugildi,117
1990M11,"Mánaðarbreyting, %",0.1
1990M11,"Ársbreyting, %",3.8
1990M12,Vísitölugildi,120.1
1990M12,"Mánaðarbreyting, %",2.6
1990M12,"Ársbreyting, %",6.6
1991M01,Vísitölugildi,120.2
1991M01,"Mánaðarbreyting, %",0.1
1991M01,"Ársbreyting, %",6.1
1991M02,Vísitölugildi,120.3
1991M02,"Mánaðarbreyting, %",0.1
1991M02,"Ársbreyting, %",4.9
1991M03,Vísitölugildi,123.7
1991M03,"Mánaðarbreyting, %",2.8
1991M03,"Ársbreyting, %",7.8
1991M04,Vísitölugildi,123.7
1991M04,"Mánaðarbreyting, %",0
1991M04,"Ársbreyting, %",7.8
1991M05,Vísitölugildi,123.7
1991M05,"Mánaðarbreyting, %",0
1991M05,"Ársbreyting, %",7.6
1991M06,Vísitölugildi,127
1991M06,"Mánaðarbreyting, %",2.7
1991M06,"Ársbreyting, %",8.9
1991M07,Vísitölugildi,129.2
1991M07,"Mánaðarbreyting, %",1.7
1991M07,"Ársbreyting, %",10.5
1991M08,Vísitölugildi,129.2
1991M08,"Mánaðarbreyting, %",0
1991M08,"Ársbreyting, %",10.5
1991M09,Vísitölugildi,129.3
1991M09,"Mánaðarbreyting, %",0.1
1991M09,"Ársbreyting, %",10.9
1991M10,Vísitölugildi,127.8
1991M10,"Mánaðarbreyting, %",-1.2
1991M10,"Ársbreyting, %",9.3
1991M11,Vísitölugildi,127.8
1991M11,"Mánaðarbreyting, %",0
1991M11,"Ársbreyting, %",9.2
1991M12,Vísitölugildi,127.8
1991M12,"Mánaðarbreyting, %",0
1991M12,"Ársbreyting, %",6.4
1992M01,Vísitölugildi,127.8
1992M01,"Mánaðarbreyting, %",0
1992M01,"Ársbreyting, %",6.3
1992M02,Vísitölugildi,127.8
1992M02,"Mánaðarbreyting, %",0
1992M02,"Ársbreyting, %",6.2
1992M03,Vísitölugildi,128.1
1992M03,"Mánaðarbreyting, %",0.2
1992M03,"Ársbreyting, %",3.6
1992M04,Vísitölugildi,128.1
1992M04,"Mánaðarbreyting, %",0
1992M04,"Ársbreyting, %",3.6
1992M05,Vísitölugildi,130
1992M05,"Mánaðarbreyting, %",1.5
1992M05,"Ársbreyting, %",5.1
1992M06,Vísitölugildi,130.1
1992M06,"Mánaðarbreyting, %",0.1
1992M06,"Ársbreyting, %",2.4
1992M07,Vísitölugildi,130.2
1992M07,"Mánaðarbreyting, %",0.1
1992M07,"Ársbreyting, %",0.8
1992M08,Vísitölugildi,130.2
1992M08,"Mánaðarbreyting, %",0
1992M08,"Ársbreyting, %",0.8
1992M09,Vísitölugildi,130.3
1992M09,"Mánaðarbreyting, %",0.1
1992M09,"Ársbreyting, %",0.8
1992M10,Vísitölugildi,130.4
1992M10,"Mánaðarbreyting, %",0.1
1992M10,"Ársbreyting, %",2
1992M11,Vísitölugildi,130.4
1992M11,"Mánaðarbreyting, %",0
1992M11,"Ársbreyting, %",2
1992M12,Vísitölugildi,130.7
1992M12,"Mánaðarbreyting, %",0.2
1992M12,"Ársbreyting, %",2.3
1993M01,Vísitölugildi,130.7
1993M01,"Mánaðarbreyting, %",0
1993M01,"Ársbreyting, %",2.3
1993M02,Vísitölugildi,130.8
1993M02,"Mánaðarbreyting, %",0.1
1993M02,"Ársbreyting, %",2.3
1993M03,Vísitölugildi,131.1
1993M03,"Mánaðarbreyting, %",0.2
1993M03,"Ársbreyting, %",2.3
1993M04,Vísitölugildi,131.1
