felag_lykill,motadili,motadili_heiti,tegund,adalsamningur,erft_fra,fjoldi_haekkana,fyrsta,sidasta,samfelld_fra,samfelld_ar,samfelld_punktar,eldri_eydur,visitala_samfellu_lok,heilleiki
nafn:afl,sa,Samtök atvinnulífsins,samtok,1,SGS,28,2004-04-19,2027-01-01,2011-05-05,16,24,1,180.74,samfelld
nafn:afl,fy-alcoa-fjardaals,Alcoa Fjarðaáls,fyrirtaeki,0,,4,2016-03-01,2019-03-01,2016-03-01,3,4,0,110.86,samfelld
nafn:afl,smabatar,Landssamband smábátaeigenda,samtok,0,,4,2019-04-01,2022-01-01,2019-04-01,3,4,0,122.87,samfelld
nafn:afl,sveitarfelog,Samband íslenskra sveitarfélaga,sveitarfelag,0,,4,2008-12-01,2017-06-01,2015-05-01,2,3,1,108.13,eyður
nafn:afl starfsgreinafélag,sa,Samtök atvinnulífsins,samtok,1,SGS,33,2004-03-01,2027-01-01,2004-03-01,23,33,0,217.31,samfelld
nafn:afl starfsgreinafélag,fy-alcoa-fjardaals,Alcoa Fjarðaáls,fyrirtaeki,0,,9,2007-01-01,2028-03-01,2025-09-15,3,5,1,115.08,samfelld
nafn:afl starfsgreinafélag,riki,Ríkið,riki,0,,9,2005-01-01,2016-06-01,2015-05-01,1,2,1,105.5,of fáir punktar
nafn:afl starfsgreinafélag,smabatar,Landssamband smábátaeigenda,samtok,0,,8,2015-05-01,2027-01-01,2024-02-01,3,4,1,100.0,samfelld
nafn:afl starfsgreinafélag,sveitarfelog,Samband íslenskra sveitarfélaga,sveitarfelag,0,,8,2015-05-01,2023-01-01,2020-01-01,3,5,1,100.0,samfelld
nafn:afl starfsgreinafélag,sfs,Samtök fyrirtækja í sjávarútvegi,samtok,0,,5,2004-10-30,2008-01-01,2004-10-30,4,5,0,112.82,samfelld
nafn:afl starfsgreinafélag,fy-launanefnd-thjodkirkjunnar,Launanefnd Þjóðkirkjunnar,fyrirtaeki,0,,4,2006-01-01,2008-12-01,2006-01-01,2,4,0,106.09,eyður
nafn:aldan,sa,Samtök atvinnulífsins,samtok,1,SGS,29,1995-06-09,2027-01-01,2011-05-05,16,24,2,180.74,samfelld
nafn:aldan,fy-steinull,Steinull,fyrirtaeki,0,,1,2024-04-01,2024-04-01,2024-04-01,0,1,0,100.0,of fáir punktar
nafn:alþýðusamband íslands,sa,Samtök atvinnulífsins,samtok,1,,8,1990-02-01,1999-01-01,1998-01-01,1,2,2,104.0,of fáir punktar
