felag,fra_dags,til_dags,prosenta,spennt,samraemd,maelingar,rakning,heimild,skjal
AFL Starfsgreinafélag,2011-06-01,2012-02-01,5.67,1.56,0,125,vefur félagsins,afl,afl/Kjarasamningur-AFLs-SA-2011.pdf
AFL Starfsgreinafélag,2011-06-01,2012-03-01,4.02,2.98,0,270,vefur félagsins,afl,afl/SGS_Rikid_2011_kjarasamningur.pdf
AFL Starfsgreinafélag,2012-02-01,2012-03-01,11.15,25.03,0,112,vefur félagsins,afl,afl/kauptaxtar2012.pdf
AFL Starfsgreinafélag,2011-06-01,2012-03-01,3.5,0.03,1,279,vefur félagsins,afl,afl/snsogsgs-kjarasamnings2011.pdf
AFL Starfsgreinafélag,2011-05-01,2012-03-01,3.5,0.0,1,72,vefur félagsins,afl,afl/snsogsgs-kjarasamnings2011.pdf
AFL Starfsgreinafélag,2012-02-01,2013-02-01,5.37,1.4,0,125,vefur félagsins,afl,afl/Kjarasamningur-AFLs-SA-2011.pdf
AFL Starfsgreinafélag,2012-03-01,2013-03-01,3.87,2.84,0,270,vefur félagsins,afl,afl/SGS_Rikid_2011_kjarasamningur.pdf
AFL Starfsgreinafélag,2013-02-01,2013-03-01,10.66,24.75,0,115,vefur félagsins,afl,afl/kauptaxtar_2013.pdf
AFL Starfsgreinafélag,2012-03-01,2013-03-01,5.64,4.18,0,351,vefur félagsins,afl,afl/snsogsgs-kjarasamnings2011.pdf
AFL Starfsgreinafélag,2013-03-01,2014-03-01,3.6,1.86,0,351,vefur félagsins,afl,afl/snsogsgs-kjarasamnings2011.pdf
AFL Starfsgreinafélag,2015-05-01,2016-01-01,6.2,0.34,1,92,vefur félagsins,afl,afl/2015-SAogASA-Kjarasamningur.pdf
AFL Starfsgreinafélag,2016-01-01,2016-06-01,8.44,16.78,0,76,vefur félagsins,afl,afl/Kauptaxtar2016.pdf
AFL Starfsgreinafélag,2016-01-01,2017-05-01,4.5,0.0,1,88,vefur félagsins,afl,afl/2015-SAogASA-Kjarasamningur.pdf
AFL Starfsgreinafélag,2017-05-01,2017-06-01,8.22,19.38,0,88,vefur félagsins,afl,afl/Kauptaxtar2017.pdf
AFL Starfsgreinafélag,2017-05-01,2018-05-01,3.0,0.0,1,84,vefur félagsins,afl,afl/2015-SAogASA-Kjarasamningur.pdf
AFL Starfsgreinafélag,2019-04-01,2020-04-01,6.65,3.06,0,228,vefur félagsins,afl,afl/2022_kjarasamningur-sgs-og-lv.pdf
AFL Starfsgreinafélag,2020-04-01,2021-01-01,6.23,2.7,0,228,vefur félagsins,afl,afl/2022_kjarasamningur-sgs-og-lv.pdf
AFL Starfsgreinafélag,2021-01-01,2022-01-01,6.11,2.5,0,228,vefur félagsins,afl,afl/2022_kjarasamningur-sgs-og-lv.pdf
AFL Starfsgreinafélag,2022-11-01,2023-04-01,14.51,21.78,0,59,vefur félagsins,afl,afl/Kauptaxtar2023.pdf
AFL Starfsgreinafélag,2024-02-01,2025-01-01,5.58,0.0,1,84,vefur félagsins,afl,afl/2024-2028-Heildarkjarasamningur-SGS-SA.pdf
AFL Starfsgreinafélag,2025-01-01,2026-01-01,5.28,0.0,1,84,vefur félagsins,afl,afl/2024-2028-Heildarkjarasamningur-SGS-SA.pdf
AFL Starfsgreinafélag,2026-01-01,2027-01-01,5.02,0.0,1,84,vefur félagsins,afl,afl/2024-2028-Heildarkjarasamningur-SGS-SA.pdf
