Mánuður,Vísitala,Liður,gildi
1988M05,Vísitala neysluverðs,Vísitala,100
1988M05,Vísitala neysluverðs án húsnæðis,Vísitala,100
1988M06,Vísitala neysluverðs,Vísitala,103.4
1988M06,Vísitala neysluverðs,"Mánaðarbreyting, %",3.4
1988M06,Vísitala neysluverðs án húsnæðis,Vísitala,103.8
1988M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",3.8
1988M07,Vísitala neysluverðs,Vísitala,107
1988M07,Vísitala neysluverðs,"Mánaðarbreyting, %",3.48
1988M07,Vísitala neysluverðs án húsnæðis,Vísitala,106.5
1988M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",2.6
1988M08,Vísitala neysluverðs,Vísitala,109.3
1988M08,Vísitala neysluverðs,"Mánaðarbreyting, %",2.15
1988M08,Vísitala neysluverðs án húsnæðis,Vísitala,108.7
1988M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",2.07
1988M09,Vísitala neysluverðs,Vísitala,110
1988M09,Vísitala neysluverðs,"Mánaðarbreyting, %",0.64
1988M09,Vísitala neysluverðs án húsnæðis,Vísitala,109.6
1988M09,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.83
1988M10,Vísitala neysluverðs,Vísitala,110.4
1988M10,Vísitala neysluverðs,"Mánaðarbreyting, %",0.36
1988M10,Vísitala neysluverðs án húsnæðis,Vísitala,110.1
1988M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.46
1988M11,Vísitala neysluverðs,Vísitala,110.5
1988M11,Vísitala neysluverðs,"Mánaðarbreyting, %",0.09
1988M11,Vísitala neysluverðs án húsnæðis,Vísitala,110.4
1988M11,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.27
1988M12,Vísitala neysluverðs,Vísitala,110.7
1988M12,Vísitala neysluverðs,"Mánaðarbreyting, %",0.18
1988M12,Vísitala neysluverðs án húsnæðis,Vísitala,110.9
1988M12,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.45
1989M01,Vísitala neysluverðs,Vísitala,112.6
1989M01,Vísitala neysluverðs,"Mánaðarbreyting, %",1.72
1989M01,Vísitala neysluverðs án húsnæðis,Vísitala,113.3
1989M01,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",2.16
1989M02,Vísitala neysluverðs,Vísitala,114.2
1989M02,Vísitala neysluverðs,"Mánaðarbreyting, %",1.42
1989M02,Vísitala neysluverðs án húsnæðis,Vísitala,114.8
1989M02,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",1.32
1989M03,Vísitala neysluverðs,Vísitala,117.4
1989M03,Vísitala neysluverðs,"Mánaðarbreyting, %",2.8
1989M03,Vísitala neysluverðs án húsnæðis,Vísitala,118.1
1989M03,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",2.87
1989M04,Vísitala neysluverðs,Vísitala,119.9
1989M04,Vísitala neysluverðs,"Mánaðarbreyting, %",2.13
1989M04,Vísitala neysluverðs án húsnæðis,Vísitala,120.6
1989M04,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",2.12
1989M05,Vísitala neysluverðs,Vísitala,122.3
1989M05,Vísitala neysluverðs,"Mánaðarbreyting, %",2
1989M05,Vísitala neysluverðs,"Ársbreyting, %",22.3
1989M05,Vísitala neysluverðs án húsnæðis,Vísitala,123.1
1989M05,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",2.07
1989M05,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",23.1
1989M06,Vísitala neysluverðs,Vísitala,125.9
1989M06,Vísitala neysluverðs,"Mánaðarbreyting, %",2.94
1989M06,Vísitala neysluverðs,"Ársbreyting, %",21.8
1989M06,Vísitala neysluverðs án húsnæðis,Vísitala,126.9
1989M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",3.09
1989M06,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",22.3
1989M07,Vísitala neysluverðs,Vísitala,126.8
1989M07,Vísitala neysluverðs,"Mánaðarbreyting, %",0.71
1989M07,Vísitala neysluverðs,"Ársbreyting, %",18.5
1989M07,Vísitala neysluverðs án húsnæðis,Vísitala,127.9
1989M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.79
1989M07,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",20.1
1989M08,Vísitala neysluverðs,Vísitala,128.5
1989M08,Vísitala neysluverðs,"Mánaðarbreyting, %",1.34
1989M08,Vísitala neysluverðs,"Ársbreyting, %",17.6
1989M08,Vísitala neysluverðs án húsnæðis,Vísitala,130.1
1989M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",1.72
