stada,dagsetning,prosenta,kronur,a_vid,heimild,athugasemd,felag,felag_audkenni,motadili,motadili_heiti,eyda_fra,eyda_til,manudir,haekkun_a_undan,haekkun_a_eftir,algengt_hja_odrum,samningar_fjoldi,samningar,slodir,heilleiki,fjoldi_haekkana,timabil_felags
,,,,,,,Samtök starfsmanna fjármálafyrirtækja,samtok-starfsmanna-fjarmalafyrirtaekja,sa,Samtök atvinnulífsins,1992-05-01,1995-04-01,35,"1,70%","1,00%",,3,1992-05-01–1993-02-28 Samninganefnd bankanna (Heildarsamningur) | 1993-03-01–1994-12-31 Samninganefnd bankanna (Heildarsamningur) | 1995-04-01–1996-12-31 Samninganefnd bankanna (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/samningur_1093.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1092.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1091.pdf,samfelld,59,1977-02-01 – 2027-01-01
,,,,,,,Samtök starfsmanna fjármálafyrirtækja,samtok-starfsmanna-fjarmalafyrirtaekja,sa,Samtök atvinnulífsins,1996-01-01,1998-01-01,24,"3,70%","3,70%","1998-01-01 4,00% (12 félög)",2,1997-03-01–1999-09-01 Samninganefnd bankanna (Heildarsamningur) | 1995-04-01–1996-12-31 Samninganefnd bankanna (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/samningur_1090.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1091.pdf,samfelld,59,1977-02-01 – 2027-01-01
,,,,,,,Efling,efling,sa,Samtök atvinnulífsins,1989-04-30,1995-06-09,74,"15,00%","3,20%","1990-12-01 2,00% (4 félög); 1991-03-01 2,50% (4 félög); 1991-06-01 2,00% (4 félög); 1990-02-01 1,50% (3 félög)",3,"1989-04-30–1989-12-01 Samtök atvinnulífsins, SA (Samkomulag) | 1995-02-01–1996-12-01 Samtök atvinnulífsins, SA (Sérkjarasamningur) | 1995-02-18–1997-02-01 Samtök atvinnulífsins, SA (Viðauki)",https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23092816500.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23092817390.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100416040.pdf,samfelld,41,1984-06-01 – 2027-01-01
,,,,,,,Efling,efling,sa,Samtök atvinnulífsins,1996-01-01,1998-01-01,24,"3,00%","4,00%","1998-01-01 4,00% (11 félög)",3,"1998-01-01–2000-02-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 1995-02-01–1996-12-01 Samtök atvinnulífsins, SA (Sérkjarasamningur) | 1995-02-18–1997-02-01 Samtök atvinnulífsins, SA (Viðauki)",https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23092915100.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23092817390.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100416040.pdf,samfelld,41,1984-06-01 – 2027-01-01
,,,,,,,Efling,efling,sa,Samtök atvinnulífsins,2007-01-01,2009-03-01,26,"2,25%","3,50%","2009-03-01 3,50% (7 félög); 2008-01-01 2,25% (6 félög); 2008-01-01 2,00% (4 félög); 2007-05-01 2,00% (4 félög)",3,"2008-02-01–2010-01-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 2004-05-01–2007-12-01 Samtök atvinnulífsins, SA (Sérkjarasamningur) | 2008-05-01–2009-03-01 Samtök fyrirtækja í velferðarþjónustu (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100216040.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100215360.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100516221.pdf,samfelld,41,1984-06-01 – 2027-01-01
,,,,,,,Samiðnar,samidnar,sa,Samtök atvinnulífsins,1998-01-01,2000-04-15,27,"4,00%",1.745 kr,"1999-01-01 4,00% (7 félög)",3,"2000-04-15–2004-01-31 Samtök atvinnulífsins, SA (Heildarsamningur) | 1997-03-01–2000-02-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 1997-03-01–2000-02-01 Reykjavíkurborg (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/samningur_896.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23090617000.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23090617070.pdf,samfelld,36,1997-03-18 – 2027-01-01
,,,,,,,Samiðnar,samidnar,sa,Samtök atvinnulífsins,2012-02-29,2014-01-01,23,18.000 kr,"2,80% / 8.000 kr","2013-02-01 3,25% (21 félög); 2012-03-01 3,50% (5 félög); 2013-03-01 3,25% (5 félög); 2014-01-01 2,80% (3 félög)",3,"2014-01-01–2015-02-28 Meistarasamband byggingamanna (Heildarsamningur) | 2014-01-01–2015-02-28 Samtök atvinnulífsins, SA (Heildarsamningur) | 2011-06-01–2013-02-01 Meistarasamband byggingamanna (Viðauki)",https://kjarasamningar.hestafl.is/pdfs/samningur_189.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_892.pdf https://kjarasamningar.hestafl.is/pdfs/Meistarasamband.pdf,samfelld,36,1997-03-18 – 2027-01-01
,,,,,,,Samiðnar,samidnar,sa,Samtök atvinnulífsins,2022-01-01,2024-02-01,25,"2,50% / 17.250 kr","3,25% / 23.750 kr","2024-02-01 3,25% (31 félög); 2022-11-01 4,99% (16 félög); 2022-11-01 6,75% (13 félög); 2023-04-01 5,00% (6 félög)",3,2022-11-01–2024-01-31 Meistarasamband byggingamanna (Kjarasamningur) | 2022-11-01–2024-01-31 SA - málmiðnaður og byggingariðnaður (Kjarasamningur) | 2024-02-01–2028-02-01 Meistarasamband byggingamanna (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/fd524271-316b-4b27-a3d1-3ff72950b052.pdf https://kjarasamningar.hestafl.is/pdfs/fd524271-316b-4b27-a3d1-3ff72950b052.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1610.pdf,samfelld,36,1997-03-18 – 2027-01-01
,,,,,,,Verkalýðsfélagið Hlíf,verkalydsfelagid-hlif,sa,Samtök atvinnulífsins,1986-12-01,1998-01-01,133,26.500 kr,"4,00%","1998-01-01 4,00% (11 félög); 1990-12-01 2,00% (4 félög); 1991-03-01 2,50% (4 félög); 1991-06-01 2,00% (4 félög)",3,"1986-12-01–1987-12-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 1989-05-01–1989-12-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 1995-02-01–1995-10-01 Samtök atvinnulífsins, SA (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23091114540.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23091114560.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100416050.pdf,samfelld,36,1986-12-01 – 2027-01-01
,,,,,,,Verkalýðsfélagið Hlíf,verkalydsfelagid-hlif,sa,Samtök atvinnulífsins,1998-01-01,2000-12-01,35,"4,00%","3,00%","1999-01-01 4,00% (7 félög)",3,"2000-03-01–2002-11-30 Samtök atvinnulífsins, SA (Heildarsamningur) | 2000-11-01–2003-12-01 Hrafnistu Hafnarfirði (Heildarsamningur) | 2000-11-01–2003-12-01 Ríkissjóður, SNR (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100315520.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100515340.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100515300.pdf,samfelld,36,1986-12-01 – 2027-01-01
,,,,,,,Verkalýðsfélagið Hlíf,verkalydsfelagid-hlif,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",3,2008-12-01–2009-08-01 Samband íslenskra sveitarfélaga (Samkomulag) | 2009-07-01–2010-11-01 Samband íslenskra sveitarfélaga (Samkomulag) | 2009-07-01–2010-11-01 Samtök fyrirtækja í velferðarþjónustu (Samkomulag),https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100516231.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100516260.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100314590.pdf,samfelld,36,1986-12-01 – 2027-01-01
,,,,,,,Eining-Iðja,eining-idja,sa,Samtök atvinnulífsins,1999-01-01,2001-01-01,24,"4,00%","3,00%","2001-01-01 3,00% (7 félög)",3,"2000-04-01–2003-12-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 1997-03-01–2000-02-01 Samtök atvinnulífsins, SA (Viðauki) | 2000-01-01–? Kaupfélag Eyfirðinga (Sérkjarasamningur)",https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100415190.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23092913490.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100415270.pdf,samfelld,34,1997-03-09 – 2027-01-01
,,,,,,,Eining-Iðja,eining-idja,sa,Samtök atvinnulífsins,2001-01-01,2004-04-19,39,"3,00%","3,25%","2002-01-01 3,00% (19 félög); 2003-01-01 3,00% (18 félög); 2004-04-19 3,25% (14 félög); 2004-01-01 3,00% (5 félög)",3,"2000-04-01–2003-12-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 2004-01-01–2007-12-01 Nordurorka hf. (Sérkjarasamningur) | 2000-01-01–? Kaupfélag Eyfirðinga (Sérkjarasamningur)",https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100415190.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100415281.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100415270.pdf,samfelld,34,1997-03-09 – 2027-01-01
,,,,,,,Eining-Iðja,eining-idja,sa,Samtök atvinnulífsins,2008-01-01,2011-05-05,40,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2009-11-01 3,50% (4 félög)",3,2009-08-01–? TDK Foil Iceland ehf. (Samkomulag) | 2011-05-01–2014-01-01 Norðurorka hf. (Heildarsamningur) | 2000-01-01–? Kaupfélag Eyfirðinga (Sérkjarasamningur),https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100415300.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_40.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100415270.pdf,samfelld,34,1997-03-09 – 2027-01-01
,,,,,,,VR,vr,sa,Samtök atvinnulífsins,1989-03-01,2001-01-01,142,"1,25%","3,00%","1998-01-01 4,00% (12 félög); 1999-01-01 4,00% (7 félög); 2001-01-01 3,00% (7 félög); 1990-12-01 2,00% (4 félög)",0,,,samfelld,34,1988-06-01 – 2027-01-01
,,,,,,,VR,vr,sa,Samtök atvinnulífsins,2002-01-01,2004-04-16,27,"3,00%","3,25% / 5.000 kr","2003-01-01 3,00% (18 félög); 2004-01-01 3,00% (5 félög)",0,,,samfelld,34,1988-06-01 – 2027-01-01
,,,,,,,VR,vr,sa,Samtök atvinnulífsins,2005-01-01,2007-01-01,24,3.000 kr,"5,00%","2007-01-01 2,25% (31 félög); 2006-01-01 2,50% (26 félög)",0,,,samfelld,34,1988-06-01 – 2027-01-01
